Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"relation"	57	6	-1.2202	16	-0.7247	35	1.8132
"libre"	44	7	-0.4305	16	0.3421	21	0.318
"la|le"	869	165	-0.3432	297	-0.3682	407	0.4218
"empêcher"	50	7	-0.6386	20	0.6011	23	-0.265
"faire"	2221	501	4.3404	759	-0.4315	961	-2.6147
"autre"	622	106	-1.0392	218	0.3896	298	0.6667
"rencontre"	39	1	-2.6018	9	-1.056	29	3.4646
"début"	231	51	0.8144	66	-1.4985	114	0.7211
"désir"	9	2	0.2679	0	-1.6557	7	1.2349
"leur"	478	72	-1.9696	167	0.3536	239	1.257
"alors"	278	72	2.4175	94	-0.369	112	-1.5844
"contraire"	36	3	-1.1857	11	-0.4219	22	1.2786
"souhaiter"	33	5	-0.4307	11	-0.2816	17	0.4786
"liaison"	2	0	-0.1853	0	-0.3679	2	0.6696
"rester"	359	60	-0.8956	128	0.4614	171	0.4964
"secret"	41	4	-1.0792	15	0.3481	22	0.6709
"se"	2895	552	-0.3639	1016	0.5736	1327	-0.4793
"lieu"	132	22	-0.5713	41	-0.6406	69	1.0128
"travail"	79	10	-1.0646	28	0.3239	41	0.7309
"occuper"	17	1	-0.8724	7	0.4371	9	0.4238
"même"	1294	306	4.361	514	4.2583	474	-11.8453
"actuellement"	8	0	-0.7412	5	0.9967	3	-0.349
"compétition"	3	0	-0.278	0	-0.5519	3	1.0045
"obtenir"	51	4	-1.6592	12	-1.2005	35	2.981
"promotion"	5	1	0.1832	1	-0.3591	3	0.3665
"présenter"	45	9	0.2957	13	-0.5772	23	0.5135
"comme"	796	140	-0.8827	268	-0.4971	388	1.0708
"salaud"	6	3	1.0485	0	-1.1038	3	0.2338
"unique"	61	5	-1.8197	15	-1.1922	41	3.1104
"ambition"	28	3	-0.7304	10	0.2854	15	0.5559
"publique"	8	0	-0.7412	5	0.9967	3	-0.349
"montrer"	82	7	-2.1919	30	0.4118	45	1.1366
"grand"	496	79	-1.4731	150	-1.6211	267	3.3695
"intérêt"	103	38	4.6747	37	0.3774	28	-4.2525
"lui"	470	85	-0.5376	163	0.3097	222	0.4534
"avance"	18	4	0.3328	4	-0.699	10	0.5395
"tout"	2318	471	1.0354	798	-0.3306	1049	-0.767
"savoir"	411	87	0.7644	135	-0.5962	189	-0.3222
"celui"	388	64	-1.0176	105	-3.009	219	4.4433
"déjà"	202	49	1.3505	65	-0.575	88	-0.6141
"couple"	3	0	-0.278	2	0.5601	1	-0.2549
"envoyer"	40	4	-1.0251	14	0.2721	22	0.7673
"plusieurs"	145	35	1.079	37	-1.8994	73	0.7378
"reprise"	19	3	-0.3098	10	1.0937	6	-0.8358
"carte"	102	13	-1.2393	41	0.8658	48	0.3243
"sembler"	154	26	-0.5716	59	0.7374	69	-0.4086
"particulier"	60	9	-0.5857	19	-0.4256	32	0.7799
"vivre"	103	15	-0.8522	25	-1.7821	63	2.7786
"seul"	241	47	0.3185	92	0.8819	102	-0.9108
"appartement"	4	0	-0.3706	1	-0.2431	3	0.5874
"son"	2377	312	-14.7844	802	-0.669	1263	11.0259
"rat"	5	4	2.2393	0	-0.9198	1	-0.6238
"introduction"	33	11	1.4062	12	0.3214	10	-1.3322
"apprendre"	108	18	-0.5263	42	0.7066	48	-0.4088
"subir"	27	6	0.3769	10	0.3342	11	-0.4519
"psychiatrique"	3	1	0.3254	0	-0.5519	2	0.3527
"an"	137	35	1.3821	41	-0.8296	61	-0.426
"tôt"	14	1	-0.6607	4	-0.3591	9	0.8567
"expérience"	155	21	-1.3825	47	-0.8117	87	2.0646
"traumatisant"	2	0	-0.1853	1	0.2431	1	0.148
"mère"	8	4	1.3069	0	-1.4718	4	0.2579
"elle-même"	18	1	-0.9451	8	0.5889	9	0.3325
"grave"	19	8	1.7338	5	-0.5062	6	-0.8358
"problème"	210	46	0.7394	90	2.1269	74	-3.1049
"habiller"	4	0	-0.3706	2	0.3678	2	0.2011
"expliquer"	62	14	0.5289	25	0.6918	23	-1.032
"quel"	104	16	-0.7103	34	-0.4098	54	0.8403
"point"	513	125	2.6383	169	-0.6208	219	-1.243
"trouver"	398	61	-1.5851	161	2.0976	176	-0.6529
"monstrueux"	14	0	-1.2971	6	0.4616	8	0.5365
"parent"	2	0	-0.1853	0	-0.3679	2	0.6696
"mourir"	85	25	1.8113	25	-0.72	35	-0.6917
"durant"	72	16	0.5215	26	0.3641	30	-0.5946
"enfance"	25	7	0.7205	9	0.2895	9	-0.6891
"suicider"	9	2	0.2679	1	-0.8963	6	0.7306
"père"	22	5	0.3772	6	-0.497	11	0.3535
"succomber"	6	2	0.4878	1	-0.4842	3	0.2338
"accident"	3	0	-0.278	2	0.5601	1	-0.2549
"année"	145	15	-2.55	50	-0.2729	80	1.7134
"tard"	67	15	0.5248	23	-0.2656	29	-0.4456
"long"	178	33	-0.3421	62	0.3057	83	0.3102
"victime"	23	5	0.3366	8	0.2458	10	-0.3197
"hallucination"	5	2	0.6079	1	-0.3591	2	-0.2442
"reflet"	5	0	-0.4633	2	0.2498	3	0.3665
"voir"	633	139	1.3394	198	-1.3408	296	0.3824
"image"	51	9	-0.3256	20	0.5443	22	-0.419
"morbide"	3	1	0.3254	0	-0.5519	2	0.3527
"entendre"	82	16	0.2867	26	-0.468	40	0.4398
"voix"	54	7	-0.7956	11	-1.7589	36	2.7009
"insulter"	5	1	0.1832	1	-0.3591	3	0.3665
"ou"	1243	213	-1.4859	421	-0.4907	609	1.5508
"meurtre"	14	2	-0.3205	5	0.2498	7	0.3079
"recevoir"	14	2	-0.3205	3	-0.6355	9	0.8567
"parent|parents"	5	3	1.2836	0	-0.9198	2	-0.2442
"psychologie"	6	2	0.4878	2	-0.1828	2	-0.3806
"commettre"	7	0	-0.6486	4	0.7163	3	-0.2355
"entourage"	2	0	-0.1853	0	-0.3679	2	0.6696
"questionner"	6	1	-0.1709	0	-1.1038	5	1.1074
"part"	214	45	0.5615	79	0.5974	90	-0.9137
"responsabilité"	5	1	0.1832	2	0.2498	2	-0.2442
"découvrir"	166	26	-0.8439	53	-0.5718	87	1.1844
"face"	83	13	-0.5972	26	-0.5055	44	0.8843
"assassinat"	99	28	1.7327	31	-0.541	40	-0.8453
"proche"	50	9	-0.3012	18	0.3315	23	-0.265
"demander"	144	28	0.2965	54	0.5977	62	-0.6083
"sain"	3	0	-0.278	1	-0.1399	2	0.3527
"esprit"	53	4	-1.7826	19	0.3268	30	1.0704
"également"	211	23	-3.0998	70	-0.4333	118	2.5179
"beaucoup"	360	53	-1.8012	128	0.4437	179	0.9881
"devoir"	419	79	-0.3413	163	1.4638	177	-1.2631
"choisir"	55	11	0.3055	13	-1.2475	31	1.0665
"entre"	378	71	-0.3497	135	0.4788	172	-0.393
"stable"	2	0	-0.1853	0	-0.3679	2	0.6696
"avec"	1536	285	-0.5717	506	-1.0044	745	1.3901
"gentil"	22	8	1.3415	2	-2.1616	12	0.5452
"stimulant"	2	0	-0.1853	0	-0.3679	2	0.6696
"penser"	249	52	0.5619	100	1.4337	97	-1.9213
"amoureux"	11	2	-0.1914	2	-0.6792	7	0.7062
"cela"	1171	292	6.0736	449	2.4584	430	-10.6201
"fou"	69	16	0.6175	20	-0.6969	33	0.3536
"constater"	33	6	-0.2625	13	0.4718	14	-0.4017
"on"	3398	646	-0.4059	1212	1.0773	1540	-0.8555
"incarner"	61	14	0.5622	19	-0.467	28	-0.2755
"y"	987	217	1.7978	352	0.626	418	-2.1315
"scène"	193	39	0.408	75	0.9292	79	-1.1042
"sexe"	6	2	0.4878	0	-1.1038	4	0.5584
"explicite"	3	0	-0.278	0	-0.5519	3	1.0045
"général"	63	6	-1.5319	18	-0.7094	39	2.0448
"accompagner"	37	1	-2.4371	13	0.275	23	1.4211
"par"	1354	239	-1.1198	480	0.6082	635	0.485
"clairement"	78	16	0.3667	29	0.4549	33	-0.5533
"rapport"	55	11	0.3055	16	-0.6156	28	0.5402
"étrange"	49	4	-1.5381	24	1.5858	21	-0.4311
