Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"aider"	97	21	0.511	40	0.9961	36	-1.3624
"reconstruire"	7	0	-0.6486	1	-0.6164	6	1.3832
"domaine"	22	2	-0.7529	9	0.4736	11	0.3535
"emporter"	14	2	-0.3205	5	0.2498	7	0.3079
"survivre"	17	3	-0.2351	5	-0.3607	9	0.4238
"morts-vivants"	2	0	-0.1853	0	-0.3679	2	0.6696
"brigand"	6	0	-0.5559	2	-0.1828	4	0.5584
"sorcier"	5	0	-0.4633	1	-0.3591	4	0.841
"compléter"	13	2	-0.2749	3	-0.5371	8	0.6902
"vivant"	57	10	-0.3435	16	-0.7247	31	0.866
"presque"	132	25	-0.2828	42	-0.5397	65	0.5629
"endroit"	71	12	-0.4245	30	0.9672	29	-0.6705
"dangereux"	8	0	-0.7412	5	0.9967	3	-0.349
"renvoyer"	5	0	-0.4633	2	0.2498	3	0.3665
"boucherie"	3	0	-0.278	1	-0.1399	2	0.3527
"arme"	151	26	-0.512	54	0.3926	71	0.3402
"talent"	20	2	-0.6355	5	-0.5861	13	1.1395
"épique"	64	8	-0.9564	28	1.0998	28	-0.4065
"avis"	49	9	-0.2778	18	0.3716	22	-0.3165
"second|seconde"	29	4	-0.4939	13	0.7814	12	-0.4334
"encre"	2	0	-0.1853	0	-0.3679	2	0.6696
"obscurité"	3	0	-0.278	2	0.5601	1	-0.2549
"absolu"	11	4	0.8413	3	-0.3579	4	-0.4382
"engloutir"	2	0	-0.1853	0	-0.3679	2	0.6696
"croc"	2	0	-0.1853	0	-0.3679	2	0.6696
"avide"	4	0	-0.3706	2	0.3678	2	0.2011
"espoir"	33	3	-1.008	14	0.6608	16	0.332
"sot"	2	0	-0.1853	0	-0.3679	2	0.6696
"folle|fou"	25	5	0.2676	11	0.6699	9	-0.6891
"entreprise"	5	0	-0.4633	2	0.2498	3	0.3665
"garder"	55	4	-1.9081	21	0.4811	30	0.8657
"rejoindre"	23	2	-0.8134	10	0.613	11	0.2832
"projet"	70	19	1.1743	32	1.4617	19	-3.0869
"ruine"	16	1	-0.8008	3	-0.8466	12	1.7161
"participer"	25	5	0.2676	5	-1.0449	15	0.9224
"abord"	53	16	1.4319	15	-0.6762	22	-0.5371
"forme"	69	16	0.6175	22	-0.4283	31	-0.3362
"missive"	2	0	-0.1853	0	-0.3679	2	0.6696
"appeler"	53	9	-0.3772	17	-0.3829	27	0.535
"volontaire"	4	0	-0.3706	1	-0.2431	3	0.5874
"famille"	59	0	-5.4669	12	-1.8868	47	6.8226
"longtemps"	50	9	-0.3012	14	-0.6842	27	0.7711
"jeune"	68	9	-0.8718	25	0.4058	34	0.5104
"héritier"	10	0	-0.9265	2	-0.5657	8	1.4828
"reprendre"	64	16	0.8112	13	-2.0134	35	0.9587
"possession"	11	2	-0.1914	6	0.8511	3	-0.7722
"informer"	4	1	0.2411	1	-0.2431	2	0.2011
"désormais"	23	2	-0.8134	6	-0.5708	15	1.2749
"loup"	7	1	-0.2229	2	-0.2652	4	0.3782
"cacher"	67	7	-1.3881	24	0.3396	36	0.8705
"forêt"	23	0	-2.1311	9	0.403	14	0.9361
"garde"	105	33	2.7169	36	-0.2806	36	-2.0665
"paye"	2	0	-0.1853	1	0.2431	1	0.148
"route"	46	4	-1.3609	22	1.3667	20	-0.3867
"hameau"	23	2	-0.8134	3	-1.6955	18	2.7443
"interminable"	25	6	0.4623	8	-0.3128	11	-0.3082
"virage"	7	1	-0.2229	1	-0.6164	5	0.77
"apercevoir"	12	5	1.2038	1	-1.3426	6	0.2936
"enfin"	120	28	0.8195	40	-0.3641	52	-0.5354
"surplomber"	5	2	0.6079	2	0.2498	1	-0.6238
"appréhension"	3	1	0.3254	0	-0.5519	2	0.3527
"excitation"	2	1	0.4593	0	-0.3679	1	0.148
"régner"	9	0	-0.8339	3	-0.2072	6	0.7306
"pauvre"	43	12	0.9666	16	0.386	15	-1.0516
"bougre"	3	0	-0.278	2	0.5601	1	-0.2549
"sourire"	21	4	-0.2062	6	-0.4275	11	0.4388
"accueillir"	12	2	-0.2318	3	-0.4444	7	0.5368
"bras"	31	6	0.2488	7	-0.9556	18	0.8943
"observer"	18	1	-0.9451	10	1.262	7	-0.4552
"œuvre"	129	19	-0.9331	31	-2.1759	79	3.3544
"bandit"	23	3	-0.4817	3	-1.6955	17	2.1711
"suinter"	2	0	-0.1853	0	-0.3679	2	0.6696
"corruption"	3	0	-0.278	0	-0.5519	3	1.0045
"camarade"	13	1	-0.5926	4	-0.2882	8	0.6902
"habituer"	18	0	-1.6678	2	-1.5867	16	3.6682
"traquer"	9	1	-0.3369	1	-0.8963	7	1.2349
"bête"	75	12	-0.5297	18	-1.4755	45	1.9354
"arpenter"	15	1	-0.7302	5	-0.2369	9	0.6794
"obscur"	12	1	-0.526	5	0.3947	6	0.2936
"sentier"	2	0	-0.1853	1	0.2431	1	0.148
"force"	70	10	-0.728	26	0.4377	34	0.4054
"chanceux"	3	1	0.3254	1	-0.1399	1	-0.2549
"témoignage"	3	0	-0.278	0	-0.5519	3	1.0045
"homme"	62	8	-0.8742	22	0.3144	32	0.6273
"réanimer"	2	0	-0.1853	0	-0.3679	2	0.6696
"frère"	25	2	-0.9377	12	0.9384	11	-0.3082
"méfiance"	3	0	-0.278	1	-0.1399	2	0.3527
"fondre"	13	2	-0.2749	4	-0.2882	7	0.4073
"immonde"	9	4	1.1216	3	-0.2072	2	-0.8779
"bestial"	2	0	-0.1853	0	-0.3679	2	0.6696
"croisement"	2	0	-0.1853	1	0.2431	1	0.148
"animal"	63	4	-2.4282	11	-2.6556	48	5.9022
"souterrain"	3	0	-0.278	1	-0.1399	2	0.3527
"marmite"	3	0	-0.278	0	-0.5519	3	1.0045
"concert"	2	0	-0.1853	0	-0.3679	2	0.6696
"hurlement"	2	0	-0.1853	0	-0.3679	2	0.6696
"rapprocher"	23	2	-0.8134	9	0.403	12	0.446
"prier"	8	2	0.3248	1	-0.7541	5	0.5453
"absence"	23	4	-0.2682	9	0.403	10	-0.3197
"créature"	43	6	-0.5936	15	0.2693	22	0.508
"infect"	3	0	-0.278	0	-0.5519	3	1.0045
"pardonner"	23	3	-0.4817	9	0.403	11	0.2832
"fuir"	20	7	1.14	8	0.4182	5	-1.3574
"sacré"	9	3	0.6176	3	-0.2072	3	-0.4778
"pied"	77	13	-0.4388	29	0.4947	35	-0.3094
"dungeon-crawler"	2	0	-0.1853	0	-0.3679	2	0.6696
"médiéval"	14	7	2.0328	5	0.2498	2	-1.8699
"gothique"	3	0	-0.278	1	-0.1399	2	0.3527
"influencer"	6	0	-0.5559	1	-0.4842	5	1.1074
"lovecraftiennes"	2	0	-0.1853	0	-0.3679	2	0.6696
"sacrément"	8	2	0.3248	2	-0.3575	4	0.2579
"noble"	9	1	-0.3369	0	-1.6557	8	1.9544
"éloigner"	22	3	-0.4362	9	0.4736	10	-0.2542
"livrer"	15	3	0.2427	4	-0.4362	8	0.4158
"fouille"	4	0	-0.3706	3	0.9135	1	-0.4311
"brin"	16	1	-0.8008	8	0.8248	7	-0.2822
"enthousiaste"	2	1	0.4593	0	-0.3679	1	0.148
"caverne"	8	0	-0.7412	5	0.9967	3	-0.349
"vaste"	37	7	-0.2356	10	-0.6619	20	0.6664
"composer"	20	2	-0.6355	6	-0.3625	12	0.805
"tentacule"	4	2	0.7726	0	-0.7359	2	0.2011
"ancêtre"	31	6	0.2488	10	-0.3214	15	0.3231
"haut"	130	26	0.3521	49	0.6001	55	-0.6825
"chambre"	6	1	-0.1709	3	0.4641	2	-0.3806
"réparer"	13	5	1.0653	3	-0.5371	5	-0.408
"réclamer"	8	0	-0.7412	0	-1.4718	8	2.6786
"héritage"	10	0	-0.9265	2	-0.5657	8	1.4828
"région"	22	0	-2.0384	9	0.4736	13	0.7952
"pulluler"	5	1	0.1832	0	-0.9198	4	0.841
"sorte"	67	17	0.8811	24	0.3396	26	-0.8687
"embaucher"	4	0	-0.3706	1	-0.2431	3	0.5874
"vaillant"	2	0	-0.1853	0	-0.3679	2	0.6696
"mercenaire"	21	3	-0.3924	3	-1.439	15	1.7529
"reconquérir"	4	0	-0.3706	1	-0.2431	3	0.5874
"pis"	8	2	0.3248	4	0.5473	2	-0.7006
"réfléchir"	25	4	-0.3372	9	0.2895	12	0.294
"boulot"	25	3	-0.5772	9	0.2895	13	0.4529
"lueur"	2	0	-0.1853	0	-0.3679	2	0.6696
"ombre"	24	4	-0.3019	9	0.3421	11	-0.2468
"patte"	14	0	-1.2971	6	0.4616	8	0.5365
"tuerie"	9	2	0.2679	1	-0.8963	6	0.7306
"style"	75	10	-0.9087	22	-0.6866	43	1.4505
"dessin"	24	2	-0.8751	10	0.5285	12	0.363
"inspirer"	53	7	-0.7551	18	-0.2767	28	0.6876
"furieusement"	2	0	-0.1853	0	-0.3679	2	0.6696
"Hellboy"	2	0	-0.1853	1	0.2431	1	0.148
"inspiration"	15	4	0.4916	6	0.3763	5	-0.6387
"mythe"	9	1	-0.3369	1	-0.8963	7	1.2349
"régal"	9	1	-0.3369	2	-0.4581	6	0.7306
"constant"	21	1	-1.168	12	1.5504	8	-0.5235
"néanmoins"	28	3	-0.7304	15	1.5255	10	-0.7529
"colorer"	15	2	-0.3684	6	0.3763	7	0.2315
"zoom"	3	1	0.3254	0	-0.5519	2	0.3527
"vif"	13	1	-0.5926	5	0.3142	7	0.4073
"assurer"	25	3	-0.5772	5	-1.0449	17	1.6271
"dynamisme"	13	0	-1.2045	2	-0.9209	11	2.2686
"bienvenir"	9	0	-0.8339	1	-0.8963	8	1.9544
"ensemble"	68	19	1.2859	24	0.3073	25	-1.1367
"musique"	173	27	-0.8765	47	-1.6277	99	2.6117
"discret"	43	4	-1.1897	20	1.1555	19	-0.3429
"bruitage"	11	2	-0.1914	3	-0.3579	6	0.3984
"-"	397	76	-0.2866	114	-2.1039	207	1.9686
"professionnel"	6	0	-0.5559	2	-0.1828	4	0.5584
"occurrence"	2	0	-0.1853	0	-0.3679	2	0.6696
"commenter"	6	0	-0.5559	2	-0.1828	4	0.5584
"réplique"	9	3	0.6176	3	-0.2072	3	-0.4778
"volée"	4	0	-0.3706	3	0.9135	1	-0.4311
"tragique"	10	1	-0.3979	4	0.3247	5	0.2772
"ingrédient"	11	3	0.448	2	-0.6792	6	0.3984
"mélancolique"	13	0	-1.2045	2	-0.9209	11	2.2686
"oppressant"	6	0	-0.5559	1	-0.4842	5	1.1074
"désespéré"	2	0	-0.1853	0	-0.3679	2	0.6696
"héroïque"	7	1	-0.2229	2	-0.2652	4	0.3782
"indifférent"	9	1	-0.3369	3	-0.2072	5	0.3887
"inclure"	9	1	-0.3369	3	-0.2072	5	0.3887
"préparation"	6	2	0.4878	0	-1.1038	4	0.5584
"reconstruction"	2	0	-0.1853	0	-0.3679	2	0.6696
"opération"	5	1	0.1832	1	-0.3591	3	0.3665
"capacité"	76	16	0.4133	17	-1.8195	43	1.34
"possibilité"	85	13	-0.6551	28	-0.369	44	0.7414
"bâtisse"	3	0	-0.278	1	-0.1399	2	0.3527
"varié"	48	1	-3.3536	12	-0.9743	35	3.7858
"exploration"	88	11	-1.1772	35	0.7501	42	0.3649
"récupération"	3	0	-0.278	0	-0.5519	3	1.0045
"plier"	7	1	-0.2229	0	-1.2878	6	1.3832
"suivre"	158	32	0.3969	51	-0.5134	75	0.3872
"progresser"	33	4	-0.672	15	0.8906	14	-0.4017
"contenir"	25	6	0.4623	11	0.6699	8	-0.964
"embuscade"	4	0	-0.3706	2	0.3678	2	0.2011
"dérouler"	53	6	-1.0254	23	0.9445	24	-0.3014
"air"	84	6	-2.7634	37	1.352	41	0.4453
"classique"	66	5	-2.1216	26	0.6207	35	0.7866
"somme"	27	6	0.3769	10	0.3342	11	-0.4519
"règle|règles"	7	2	0.3963	0	-1.2878	5	0.77
"démarquer"	12	2	-0.2318	4	-0.224	6	0.2936
"tréfonds"	2	0	-0.1853	1	0.2431	1	0.148
"repenser"	11	2	-0.1914	3	-0.3579	6	0.3984
"stratégie"	23	0	-2.1311	6	-0.5708	17	2.1711
"implémentation"	2	0	-0.1853	1	0.2431	1	0.148
"plupart"	79	13	-0.489	36	1.5604	30	-1.0668
"concevoir"	14	3	0.2824	4	-0.3591	7	0.3079
"retranchement"	3	0	-0.278	0	-0.5519	3	1.0045
"constamment"	17	6	1.0442	3	-0.9584	8	0.2461
"question"	77	19	0.8466	20	-1.1556	38	0.4778
"usage"	6	1	-0.1709	1	-0.4842	4	0.5584
"jet"	7	2	0.3963	0	-1.2878	5	0.77
"dé"	15	2	-0.3684	4	-0.4362	9	0.6794
"stuns"	2	0	-0.1853	0	-0.3679	2	0.6696
"définitif"	20	2	-0.6355	6	-0.3625	12	0.805
"affaire"	27	8	0.8831	9	-0.2702	10	-0.6532
"potentiellement"	4	2	0.7726	1	-0.2431	1	-0.4311
"favoriser"	7	0	-0.6486	4	0.7163	3	-0.2355
"détriment"	5	0	-0.4633	4	1.2886	1	-0.6238
"loger"	4	0	-0.3706	1	-0.2431	3	0.5874
"quatres"	5	0	-0.4633	4	1.2886	1	-0.6238
"alentour"	13	2	-0.2749	3	-0.5371	8	0.6902
"solliciter"	4	2	0.7726	1	-0.2431	1	-0.4311
"approche"	21	5	0.4226	6	-0.4275	10	0.2717
"proposant"	2	0	-0.1853	0	-0.3679	2	0.6696
"cesse"	23	2	-0.8134	6	-0.5708	15	1.2749
"fournir"	16	1	-0.8008	6	0.3062	9	0.5375
"chacun"	77	8	-1.5523	21	-0.959	48	2.4819
"influent"	4	1	0.2411	1	-0.2431	2	0.2011
"décision"	15	3	0.2427	4	-0.4362	8	0.4158
"constitution"	3	0	-0.278	1	-0.1399	2	0.3527
"stresser"	8	0	-0.7412	1	-0.7541	7	1.666
"affecter"	5	0	-0.4633	1	-0.3591	4	0.841
"vouer"	6	1	-0.1709	2	-0.1828	3	0.2338
"haine"	4	1	0.2411	0	-0.7359	3	0.5874
"farouche"	2	1	0.4593	0	-0.3679	1	0.148
"maîtriser"	38	5	-0.6281	6	-2.0508	27	2.7588
"solution"	11	0	-1.0192	4	0.2507	7	0.7062
"pourri"	4	0	-0.3706	3	0.9135	1	-0.4311
"tension"	11	2	-0.1914	5	0.4955	4	-0.4382
"gérable"	2	0	-0.1853	1	0.2431	1	0.148
"planquer"	7	4	1.5373	2	-0.2652	1	-1.0411
"branlant"	4	1	0.2411	2	0.3678	1	-0.4311
"blessure"	6	0	-0.5559	1	-0.4842	5	1.1074
"inattendu"	12	3	0.3834	6	0.6934	3	-0.934
"milieu"	50	7	-0.6386	17	-0.2726	26	0.6018
"sommeil"	6	1	-0.1709	3	0.4641	2	-0.3806
"masochiste"	3	1	0.3254	0	-0.5519	2	0.3527
"paranoïaque"	3	1	0.3254	0	-0.5519	2	0.3527
"allié"	27	5	-0.2365	14	1.3179	8	-1.2208
"pression"	20	3	-0.3502	9	0.65	8	-0.4312
"malmener"	3	1	0.3254	1	-0.1399	1	-0.2549
"équilibre"	8	0	-0.7412	2	-0.3575	6	0.9965
"redescendre"	5	0	-0.4633	2	0.2498	3	0.3665
"chance"	53	14	0.9017	17	-0.3829	22	-0.5371
"réagir"	23	2	-0.8134	10	0.613	11	0.2832
"surpasser"	10	0	-0.9265	4	0.3247	6	0.5392
"terreur"	2	0	-0.1853	1	0.2431	1	0.148
"adopter"	11	2	-0.1914	5	0.4955	4	-0.4382
"comportement"	28	1	-1.7102	11	0.439	16	0.7771
"néfaste"	3	0	-0.278	0	-0.5519	3	1.0045
"imprévisible"	5	0	-0.4633	2	0.2498	3	0.3665
"différence"	23	9	1.6702	7	-0.3643	7	-1.0297
"santé"	28	4	-0.4526	11	0.439	13	0.2472
"revenir"	113	26	0.7415	42	0.5098	45	-0.9986
"marquer"	74	6	-2.1534	28	0.5035	40	0.9597
"vice"	6	0	-0.5559	0	-1.1038	6	2.009
"limiter"	57	17	1.4437	24	0.8414	16	-2.4161
"voire"	52	6	-0.9785	18	0.2621	28	0.7725
"parfaitement"	85	9	-1.6161	30	0.3171	46	1.0481
"intégrer"	25	4	-0.3372	6	-0.7302	15	0.9224
"avérer"	43	6	-0.5936	13	-0.4712	24	0.8701
"redoutable"	7	1	-0.2229	3	0.3401	3	-0.2355
"enfermer"	4	0	-0.3706	1	-0.2431	3	0.5874
"routine"	9	4	1.1216	3	-0.2072	2	-0.8779
"stratégique"	13	1	-0.5926	4	-0.2882	8	0.6902
"centrer"	6	0	-0.5559	0	-1.1038	6	2.009
"fuite"	14	2	-0.3205	8	1.1548	4	-0.84
"dépendre"	17	1	-0.8724	7	0.4371	9	0.4238
"dégénérer"	5	0	-0.4633	4	1.2886	1	-0.6238
"défier"	4	1	0.2411	1	-0.2431	2	0.2011
"habituel"	8	2	0.3248	1	-0.7541	5	0.5453
"éviter"	63	14	0.4972	26	0.7949	23	-1.118
"coût"	3	0	-0.278	0	-0.5519	3	1.0045
"indispensable"	25	1	-1.4747	7	-0.4901	17	1.6271
"foultitude"	2	0	-0.1853	1	0.2431	1	0.148
"utile"	37	6	-0.3808	9	-0.8954	22	1.1293
"rentable"	4	2	0.7726	0	-0.7359	2	0.2011
"novice"	5	1	0.1832	1	-0.3591	3	0.3665
"poil"	30	4	-0.5366	11	0.3274	15	0.389
"absolument"	79	22	1.3994	26	-0.365	31	-0.8952
"expérimenté"	4	0	-0.3706	2	0.3678	2	0.2011
"souffrir"	39	9	0.4833	13	-0.2912	17	-0.3637
"accès"	23	3	-0.4817	12	1.2074	8	-0.7304
"paranoïa"	2	0	-0.1853	0	-0.3679	2	0.6696
"franc"	6	1	-0.1709	2	-0.1828	3	0.2338
"game"	69	16	0.6175	18	-1.0623	35	0.5752
"affronter"	29	0	-2.687	13	0.7814	16	0.6608
"résistance"	8	1	-0.2785	1	-0.7541	6	0.9965
"démolir"	2	0	-0.1853	1	0.2431	1	0.148
"antre"	2	0	-0.1853	0	-0.3679	2	0.6696
"art"	24	6	0.5117	3	-1.8271	15	1.0855
"challenge"	49	5	-1.15	22	1.065	22	-0.3165
"gameuse"	2	0	-0.1853	1	0.2431	1	0.148
"étape"	10	1	-0.3979	3	-0.2785	6	0.5392
"fragile"	11	0	-1.0192	5	0.4955	6	0.3984
"fixer"	9	0	-0.8339	7	1.9874	2	-0.8779
"imprévu"	4	0	-0.3706	2	0.3678	2	0.2011
"tomber"	120	23	-0.2593	45	0.5588	52	-0.5354
"conséquence"	17	3	-0.2351	6	0.2486	8	0.2461
"injuste"	8	4	1.3069	1	-0.7541	3	-0.349
"affûter"	2	0	-0.1853	0	-0.3679	2	0.6696
"Il"	51	9	-0.3256	18	0.2951	24	0.2935
"degré"	7	3	0.8705	1	-0.6164	3	-0.2355
"détruire"	42	5	-0.8054	25	3.0923	12	-1.8295
"contenter"	38	6	-0.4135	14	0.3547	18	0.2938
"peau"	25	5	0.2676	7	-0.4901	13	0.4529
"innocent"	8	1	-0.2785	2	-0.3575	5	0.5453
"parvenir"	42	5	-0.8054	19	1.0052	18	-0.4105
"outil"	3	0	-0.278	1	-0.1399	2	0.3527
"valeur"	24	7	0.7895	6	-0.6486	11	-0.2468
"mesurer"	7	1	-0.2229	1	-0.6164	5	0.77
"accomplir"	29	5	-0.2955	12	0.5581	12	-0.4334
"immanquablement"	2	0	-0.1853	0	-0.3679	2	0.6696
"déshumaniser"	3	0	-0.278	2	0.5601	1	-0.2549
"rapidité"	4	0	-0.3706	2	0.3678	2	0.2011
"suite|suites"	16	3	-0.2009	10	1.6839	3	-1.6514
"chiffre"	5	2	0.6079	0	-0.9198	3	0.3665
"statistique"	5	1	0.1832	0	-0.9198	4	0.841
"social"	5	0	-0.4633	1	-0.3591	4	0.841
"thème"	68	9	-0.8718	32	1.6569	27	-0.7744
"réflexion"	27	9	1.2265	9	-0.2702	9	-0.9076
"proie"	8	2	0.3248	2	-0.3575	4	0.2579
"chaos"	13	2	-0.2749	6	0.5658	5	-0.408
"maléfique"	5	1	0.1832	2	0.2498	2	-0.2442
"nicher"	3	1	0.3254	0	-0.5519	2	0.3527
"profond"	37	3	-1.2465	12	-0.3287	22	1.1293
"violent"	14	2	-0.3205	6	0.4616	6	-0.2943
"preuve"	31	4	-0.5805	11	0.2816	16	0.4724
"jugeote"	3	0	-0.278	1	-0.1399	2	0.3527
"arrêter"	64	18	1.2671	20	-0.4669	26	-0.6602
"évolution"	35	7	0.2837	10	-0.5359	18	0.4847
"abri"	5	1	0.1832	1	-0.3591	3	0.3665
"malchance"	3	0	-0.278	2	0.5601	1	-0.2549
"synergie"	3	0	-0.278	0	-0.5519	3	1.0045
"expérimentation"	4	1	0.2411	0	-0.7359	3	0.5874
"encourager"	13	3	0.3288	4	-0.2882	6	-0.2157
"redéfinition"	2	0	-0.1853	0	-0.3679	2	0.6696
"viser"	35	5	-0.5062	13	0.362	17	0.3405
"vieillir"	10	3	0.525	3	-0.2785	4	-0.3263
"blockbusters"	2	0	-0.1853	0	-0.3679	2	0.6696
"riche"	53	4	-1.7826	20	0.4439	29	0.8656
"agir"	74	13	-0.3687	23	-0.5068	38	0.6524
"soif"	5	0	-0.4633	1	-0.3591	4	0.841
"brutal"	3	0	-0.278	1	-0.1399	2	0.3527
"répétitivité"	46	6	-0.7139	19	0.6837	21	-0.2777
"honneur"	21	3	-0.3924	5	-0.6703	13	0.9529
"varier"	70	4	-2.9036	28	0.6982	38	0.9588
"addictif"	17	1	-0.8724	3	-0.9584	13	1.9433
"sauce"	10	2	0.2219	3	-0.2785	5	0.2772
"simulation"	13	5	1.0653	2	-0.9209	6	-0.2157
"comment"	77	20	1.0461	21	-0.959	36	0.2928
"tactique"	26	2	-1.0014	13	1.1219	11	-0.3767
"affrontement"	26	3	-0.627	10	0.3904	13	0.3721
"mouche"	5	3	1.2836	0	-0.9198	2	-0.2442
"présentation"	8	1	-0.2785	1	-0.7541	6	0.9965
"complet"	47	6	-0.7559	17	0.3366	24	0.519
"exigeant"	8	1	-0.2785	2	-0.3575	5	0.5453
"adversaire"	33	5	-0.4307	8	-0.8421	20	1.1567
"carence"	2	0	-0.1853	0	-0.3679	2	0.6696
"problématique"	8	1	-0.2785	2	-0.3575	5	0.5453
"besoin"	57	8	-0.6815	17	-0.561	32	1.063
"développement"	113	24	0.4851	51	1.8991	38	-2.362
"choix"	112	27	0.9294	25	-2.4571	60	1.139
"établir"	5	1	0.1832	2	0.2498	2	-0.2442
"identique"	19	9	2.2975	3	-1.1927	7	-0.5552
"palpable"	4	1	0.2411	1	-0.2431	2	0.2011
"accessible"	22	2	-0.7529	9	0.4736	11	0.3535
"intelligent"	23	3	-0.4817	9	0.403	11	0.2832
"apprivoiser"	12	3	0.3834	2	-0.7978	7	0.5368
"pleinement"	20	1	-1.0929	7	0.2472	12	0.805
"exiger"	14	1	-0.6607	5	0.2498	8	0.5365
"courbe"	5	0	-0.4633	2	0.2498	3	0.3665
"progression"	68	9	-0.8718	21	-0.5082	38	1.1493
"ahurissant"	9	1	-0.3369	5	0.7854	3	-0.4778
"clair"	48	6	-0.7987	25	2.0327	17	-1.0663
"affiche"	6	1	-0.1709	2	-0.1828	3	0.2338
"disponible"	28	2	-1.1314	8	-0.4848	18	1.3736
"caractéristique"	13	1	-0.5926	2	-0.9209	10	1.5969
"bander"	11	1	-0.461	3	-0.3579	7	0.7062
"rapporter"	15	1	-0.7302	6	0.3763	8	0.4158
"reposer"	29	3	-0.7839	10	-0.2345	16	0.6608
"avantage"	21	3	-0.3924	3	-1.439	15	1.7529
"percer"	4	0	-0.3706	1	-0.2431	3	0.5874
"mystère"	23	2	-0.8134	8	0.2458	13	0.6616
"traditionnel"	8	0	-0.7412	4	0.5473	4	0.2579
"personnalité"	37	3	-1.2465	8	-1.181	26	2.5653
"grace"	3	0	-0.278	2	0.5601	1	-0.2549
"baisser"	20	2	-0.6355	7	0.2472	11	0.5421
"intervention"	6	0	-0.5559	4	0.9493	2	-0.3806
"ressource"	22	7	0.9481	5	-0.7586	10	-0.2542
"évoluer"	61	12	0.2882	16	-0.967	33	0.8673
"principalement"	25	4	-0.3372	6	-0.7302	15	0.9224
"prévoir"	29	4	-0.4939	13	0.7814	12	-0.4334
"torcher"	7	1	-0.2229	1	-0.6164	5	0.77
"sélectionner"	5	1	0.1832	0	-0.9198	4	0.841
"stressant"	6	1	-0.1709	2	-0.1828	3	0.2338
"soit"	130	29	0.6702	41	-0.5722	60	-0.2786
"tare"	16	4	0.4314	4	-0.5188	8	0.3208
"mental"	22	5	0.3772	9	0.4736	8	-0.6234
"^"	38	6	-0.4135	12	-0.3738	20	0.5763
"fraîcheur"	5	1	0.1832	0	-0.9198	4	0.841
"rayon"	3	0	-0.278	2	0.5601	1	-0.2549
"casual"	6	1	-0.1709	3	0.4641	2	-0.3806
"rpg"	8	4	1.3069	0	-1.4718	4	0.2579
"ajouter"	73	18	0.8211	19	-1.1092	36	0.4668
"subtilité"	12	2	-0.2318	3	-0.4444	7	0.5368
"placement"	12	3	0.3834	2	-0.7978	7	0.5368
"traversée"	4	1	0.2411	2	0.3678	1	-0.4311
"indien"	14	2	-0.3205	2	-1.0479	10	1.2836
"rentrer"	34	9	0.7163	9	-0.6745	16	0.2762
"emplacement"	8	3	0.7305	1	-0.7541	4	0.2579
"cible"	98	27	1.5475	44	1.6682	27	-3.9432
"situer"	28	2	-1.1314	6	-0.9955	20	2.2025
"rang"	19	1	-1.0186	7	0.2997	11	0.6669
"taper"	43	16	2.3471	16	0.386	11	-2.3566
"sauver"	74	22	1.7087	31	0.9426	21	-2.8991
"fil"	70	8	-1.2189	20	-0.7484	42	1.8403
"remplir"	75	18	0.7428	25	-0.3312	32	-0.5133
"ex"	3	0	-0.278	1	-0.1399	2	0.3527
"arrivant"	2	0	-0.1853	1	0.2431	1	0.148
"équiper"	16	2	-0.4183	5	-0.2959	9	0.5375
"structurer"	8	0	-0.7412	4	0.5473	4	0.2579
"Ce"	38	8	0.3464	10	-0.7292	20	0.5763
"placer"	49	9	-0.2778	15	-0.4689	25	0.5244
"accumuler"	11	2	-0.1914	6	0.8511	3	-0.7722
"richesse"	18	2	-0.5237	3	-1.0739	13	1.6251
"matériau|matériaux"	4	1	0.2411	0	-0.7359	3	0.5874
"trouble"	5	0	-0.4633	2	0.2498	3	0.3665
"moyennant"	3	0	-0.278	1	-0.1399	2	0.3527
"finance"	2	0	-0.1853	0	-0.3679	2	0.6696
"prochain"	38	5	-0.6281	14	0.3547	19	0.4192
"sac"	4	0	-0.3706	0	-0.7359	4	1.3393
"voyage"	83	13	-0.5972	28	-0.3098	42	0.6079
"garnir"	3	0	-0.278	1	-0.1399	2	0.3527
"abrupt"	5	0	-0.4633	1	-0.3591	4	0.841
"balancé"	2	0	-0.1853	0	-0.3679	2	0.6696
"concrètement"	5	0	-0.4633	3	0.6422	2	-0.2442
"profondeur"	47	9	-0.2339	14	-0.5199	24	0.519
"touriste"	2	1	0.4593	0	-0.3679	1	0.148
"japonais"	32	7	0.3773	7	-1.0442	18	0.7712
"joyeux"	14	2	-0.3205	5	0.2498	7	0.3079
"stats"	7	0	-0.6486	0	-1.2878	7	2.3438
"caractère"	33	5	-0.4307	10	-0.4221	18	0.6629
"lugubre"	7	1	-0.2229	0	-1.2878	6	1.3832
"bin"	2	0	-0.1853	0	-0.3679	2	0.6696
"visiter"	50	12	0.6161	21	0.7755	17	-1.2669
"armée"	21	3	-0.3924	10	0.8206	8	-0.5235
"soleil"	38	5	-0.6281	7	-1.6283	26	2.3152
"lever"	10	1	-0.3979	3	-0.2785	6	0.5392
"arrêt"	7	2	0.3963	2	-0.2652	3	-0.2355
"chapelle"	3	0	-0.278	0	-0.5519	3	1.0045
"méditer"	2	0	-0.1853	0	-0.3679	2	0.6696
"taverne"	5	1	0.1832	2	0.2498	2	-0.2442
