"Reference";"LeftContext";"Keyword";"RightContext"
"Series_200_20";"affaire, de la réalisation jusqu'à la";"bande-son";"qu'on jurerait être l'oeuvre du duo Reznor / Ross,"
"Series_200_20";". Robot continue également à étonner par une";"bande-son";"magistrale, entre électro, techno et pop qui sert scènes quotidiennes"
"Series_200_20";"casting et par les accents dramatiques de la";"bande-son";"d'Henry Jackman, nouveau prodige d'hollywood. VERDICT : Scénario"
"Series_200_20";"Simon Baker domine à ce niveau et la";"bande-son";"personnelle est discrète mais sympathique. Mais cela ne serait pas suffisant"
"Series_200_20";"bonus en fin d'épisode) et la";"bande-son";"est assez réussie (à l'image des chansons de générique,"
